2024-08-15 03:13:24,401 INFO    StreamThr :183481 [internal.py:wandb_internal():85] W&B internal server running at pid: 183481, started at: 2024-08-15 03:13:24.401341
2024-08-15 03:13:24,402 DEBUG   HandlerThread:183481 [handler.py:handle_request():158] handle_request: status
2024-08-15 03:13:24,404 INFO    WriterThread:183481 [datastore.py:open_for_write():87] open: /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240815_031323-fd909127-ef6f-4018-a17c-f3d6a74d691b/run-fd909127-ef6f-4018-a17c-f3d6a74d691b.wandb
2024-08-15 03:13:24,404 DEBUG   SenderThread:183481 [sender.py:send():391] send: header
2024-08-15 03:13:24,404 DEBUG   SenderThread:183481 [sender.py:send():391] send: run
2024-08-15 03:13:25,163 INFO    SenderThread:183481 [dir_watcher.py:__init__():211] watching files in: /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240815_031323-fd909127-ef6f-4018-a17c-f3d6a74d691b/files
2024-08-15 03:13:25,164 INFO    SenderThread:183481 [sender.py:_start_run_threads():1200] run started: fd909127-ef6f-4018-a17c-f3d6a74d691b with start time 1723680803.539957
2024-08-15 03:13:25,173 DEBUG   HandlerThread:183481 [handler.py:handle_request():158] handle_request: check_version
2024-08-15 03:13:25,173 DEBUG   SenderThread:183481 [sender.py:send_request():418] send_request: check_version
2024-08-15 03:13:25,569 DEBUG   HandlerThread:183481 [handler.py:handle_request():158] handle_request: run_start
2024-08-15 03:13:25,570 DEBUG   HandlerThread:183481 [system_info.py:__init__():26] System info init
2024-08-15 03:13:25,570 DEBUG   HandlerThread:183481 [system_info.py:__init__():41] System info init done
2024-08-15 03:13:25,570 INFO    HandlerThread:183481 [system_monitor.py:start():194] Starting system monitor
2024-08-15 03:13:25,570 INFO    SystemMonitor:183481 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-15 03:13:25,570 INFO    HandlerThread:183481 [system_monitor.py:probe():214] Collecting system info
2024-08-15 03:13:25,571 INFO    SystemMonitor:183481 [interfaces.py:start():188] Started cpu monitoring
2024-08-15 03:13:25,571 INFO    SystemMonitor:183481 [interfaces.py:start():188] Started disk monitoring
2024-08-15 03:13:25,572 INFO    SystemMonitor:183481 [interfaces.py:start():188] Started gpu monitoring
2024-08-15 03:13:25,573 INFO    SystemMonitor:183481 [interfaces.py:start():188] Started memory monitoring
2024-08-15 03:13:25,573 INFO    SystemMonitor:183481 [interfaces.py:start():188] Started network monitoring
2024-08-15 03:13:25,580 DEBUG   HandlerThread:183481 [system_info.py:probe():152] Probing system
2024-08-15 03:13:25,581 DEBUG   HandlerThread:183481 [system_info.py:_probe_git():137] Probing git
2024-08-15 03:13:25,586 DEBUG   HandlerThread:183481 [system_info.py:_probe_git():145] Probing git done
2024-08-15 03:13:25,586 DEBUG   HandlerThread:183481 [system_info.py:probe():200] Probing system done
